"Date";"D0";"Value"
"1999-10-21";"H2";
"1999-10-21";"H3";
"1999-10-21";"H4";
"1999-10-21";"H5";"2"
"1999-10-22";"H0";"0.687698"
"1999-10-22";"H6";
"1999-10-22";"H7";
"1999-10-22";"H8";
"1999-10-22";"H1";"0.92"
"1999-10-22";"H2";
"1999-10-22";"H3";
"1999-10-22";"H4";
"1999-10-22";"H5";"1.884"
"1999-10-25";"H0";"0.663542"
"1999-10-25";"H6";
"1999-10-25";"H7";
"1999-10-25";"H8";
"1999-10-25";"H1";"0.960374"
"1999-10-25";"H2";"1.05"
"1999-10-25";"H3";
"1999-10-25";"H4";"1.06"
"1999-10-25";"H5";
"1999-10-26";"H0";"0.738327"
"1999-10-26";"H6";
"1999-10-26";"H7";
"1999-10-26";"H8";
"1999-10-26";"H1";"0.93"
"1999-10-26";"H2";
"1999-10-26";"H3";
"1999-10-26";"H4";
"1999-10-26";"H5";"1.82"
"1999-10-27";"H0";"0.783333"
"1999-10-27";"H6";
"1999-10-27";"H7";
"1999-10-27";"H8";
"1999-10-27";"H1";"0.926981"
"1999-10-27";"H2";
"1999-10-27";"H3";
"1999-10-27";"H4";
"1999-10-27";"H5";"1.79"
"1999-10-28";"H0";"0.644214"
"1999-10-28";"H6";
"1999-10-28";"H7";
"1999-10-28";"H8";
"1999-10-28";"H1";"1.03"
"1999-10-28";"H2";"1.035"
"1999-10-28";"H3";
"1999-10-28";"H4";"1.092308"
"1999-10-28";"H5";
"1999-10-29";"H0";"0.823193"
