"CubeId";"plimoinchq"
"PublishingDate";"2026-01-21 09:00"

"Date";"D0";"D1";"Value"
"1978-Q2";"VF";"AP";
"1978-Q3";"EW";"TP3";
"1978-Q3";"EW";"TP1";
"1978-Q3";"EW";"TP2";
"1978-Q3";"EW";"AP";"54.25437758"
"1978-Q3";"EW";"TP";
"1978-Q3";"EH";"TP3";
"1978-Q3";"EH";"TP1";
"1978-Q3";"EH";"TP2";
"1978-Q3";"EH";"AP";"56.67439355"
"1978-Q3";"EH";"TP";
"1978-Q3";"MH";"TP1";
"1978-Q3";"MH";"TP2";
"1978-Q3";"MH";"TP";
"1978-Q3";"MW";"AP";"47.7060523"
"1978-Q3";"BF";"AP";"60.02082862"
"1978-Q3";"GF";"AP";"56.1048034"
"1978-Q3";"VF";"AP";
"1978-Q4";"EW";"TP3";
"1978-Q4";"EW";"TP1";
"1978-Q4";"EW";"TP2";
"1978-Q4";"EW";"AP";"56.55046283"
"1978-Q4";"EW";"TP";
"1978-Q4";"EH";"TP3";
"1978-Q4";"EH";"TP1";
"1978-Q4";"EH";"TP2";
"1978-Q4";"EH";"AP";"57.84199209"
"1978-Q4";"EH";"TP";
"1978-Q4";"MH";"TP1";
"1978-Q4";"MH";"TP2";
"1978-Q4";"MH";"TP";
"1978-Q4";"MW";"AP";"49.46331977"
"1978-Q4";"BF";"AP";"59.08655824"
"1978-Q4";"GF";"AP";"61.74552522"
"1978-Q4";"VF";"AP";
"1979-Q1";"EW";"TP3";
"1979-Q1";"EW";"TP1";
"1979-Q1";"EW";"TP2";
"1979-Q1";"EW";"AP";"56.71124731"
"1979-Q1";"EW";"TP";
"1979-Q1";"EH";"TP3";
"1979-Q1";"EH";"TP1";
"1979-Q1";"EH";"TP2";
"1979-Q1";"EH";"AP";"59.08045507"
"1979-Q1";"EH";"TP";
"1979-Q1";"MH";"TP1";
"1979-Q1";"MH";"TP2";
"1979-Q1";"MH";"TP";
"1979-Q1";"MW";"AP";"48.65544882"
"1979-Q1";"BF";"AP";"60.91670744"
"1979-Q1";"GF";"AP";"56.89011945"
"1979-Q1";"VF";"AP";
"1979-Q2";"EW";"TP3";
"1979-Q2";"EW";"TP1";
"1979-Q2";"EW";"TP2";
