"REGION","CANTON","PERIOD","VALUE","STATUS","OBS_COEF"
"1","23","2023-02","2.56668971850307","A","A"
"1","25","2023-02","3.76467647248565","A","A"
"2","Total","2023-02","1.96205397932673","A","A"
"2","2","2023-02","1.55757897313047","A","A"
"2","10","2023-02","2.36319484100204","A","A"
"2","11","2023-02","2.09063688053023","A","A"
"2","24","2023-02","2.82200443329245","A","A"
"2","26","2023-02","3.65315687896333","A","B"
"3","Total","2023-02","2.36387510662837","A","A"
"3","12","2023-02","3.07611579739416","A","A"
"3","13","2023-02","1.87237764627096","A","A"
"3","19","2023-02","2.36383706927514","A","A"
"4","Total","2023-02","1.75687734149043","A","A"
"4","1","2023-02","1.75687734149043","A","A"
"5","Total","2023-02","1.63157993167593","A","A"
"5","8","2023-02","1.52615946995659","A","B"
"5","14","2023-02","2.57857867084524","A","B"
"5","15","2023-02","1.23965546360412","A","B"
"5","16","2023-02","0.576236026276363","A","C"
"5","17","2023-02","1.59245443810913","A","A"
"5","18","2023-02","1.07148836430604","A","A"
"5","20","2023-02","1.97669877636032","A","A"
"6","Total","2023-02","1.19081116728951","A","A"
"6","3","2023-02","1.33373960736517","A","A"
"6","4","2023-02","0.870060593505619","A","C"
"6","5","2023-02","0.798179396092362","A","A"
"6","6","2023-02","0.577926920208799","A","C"
"6","7","2023-02","0.783517121300058","A","B"
"6","9","2023-02","1.64237995527257","A","B"
"7","Total","2023-02","2.90210467679043","A","A"
"7","21","2023-02","2.90210467679043","A","A"
"Total","Total","2023-01","2.19208880770041","A","A"
"1","Total","2023-01","3.47967832561423","A","A"
"1","22","2023-01","3.49266747468504","A","A"
"1","23","2023-01","2.97652113777818","A","A"
"1","25","2023-01","3.81588284626798","A","A"
"2","Total","2023-01","2.00207765586392","A","A"
"2","2","2023-01","1.59098501372863","A","A"
"2","10","2023-01","2.4306817329711","A","A"
"2","11","2023-01","2.11889782323453","A","A"
"2","24","2023-01","2.89401730559337","A","A"
"2","26","2023-01","3.63385718224428","A","B"
"3","Total","2023-01","2.38783653830794","A","A"
"3","12","2023-01","3.05730466120154","A","A"
"3","13","2023-01","1.89287813144911","A","A"
"3","19","2023-01","2.40054507426109","A","A"
"4","Total","2023-01","1.76196973958171","A","A"
"4","1","2023-01","1.76196973958171","A","A"
"5","Total","2023-01","1.6834775453208","A","A"
"5","8","2023-01","1.49417409184373","A","B"
"5","14","2023-01","2.65231818600793","A","B"
"5","15","2023-01","1.31058942746158","A","B"
"5","16","2023-01","0.645384349429526","A","C"
"5","17","2023-01","1.63253662464657","A","A"
"5","18","2023-01","1.16915006417769","A","A"
"5","20","2023-01","2.01900546732622","A","A"
"6","Total","2023-01","1.20553967905034","A","A"
"6","3","2023-01","1.35681016845863","A","A"
"6","4","2023-01","0.787197679838417","A","C"
"6","5","2023-01","0.797069271758437","A","A"
"6","6","2023-01","0.568605518269948","A","C"
"6","7","2023-01","0.83326424011276","A","B"
"6","9","2023-01","1.67229320684301","A","B"
"7","Total","2023-01","3.01411998353072","A","A"
"7","21","2023-01","3.01411998353072","A","A"
"Total","Total","2022-12","2.10866953547755","A","A"
"1","Total","2022-12","3.33849265214426","A","A"
"1","22","2022-12","3.29782559357963","A","A"
"1","23","2022-12","2.92720532384051","A","A"
"1","25","2022-12","3.69895490613509","A","A"
"2","Total","2022-12","1.95480403295647","A","A"
"2","2","2022-12","1.55597119577548","A","A"
"2","10","2022-12","2.2991688152878","A","A"
"2","11","2022-12","2.06843185411971","A","A"
"2","24","2022-12","2.9086449202795","A","A"
"2","26","2022-12","3.66142817755721","A","B"
"3","Total","2022-12","2.30844432800964","A","A"
"3","12","2022-12","2.93453724604966","A","A"
"3","13","2022-12","1.81702633628996","A","A"
"3","19","2022-12","2.33135444615807","A","A"
"4","Total","2022-12","1.68581524085307","A","A"
"4","1","2022-12","1.68581524085307","A","A"
"5","Total","2022-12","1.61802109567863","A","A"
"5","8","2022-12","1.34795522047064","A","B"
"5","14","2022-12","2.49562171628722","A","B"
"5","15","2022-12","1.19236615436582","A","B"
"5","16","2022-12","0.484038262072145","A","C"
"5","17","2022-12","1.62206470203769","A","A"
"5","18","2022-12","1.07892925572484","A","A"
"5","20","2022-12","1.92462900286384","A","A"
"6","Total","2022-12","1.14420751813585","A","A"
"6","3","2022-12","1.28324554912288","A","A"
"6","4","2022-12","0.776839815630017","A","C"
"6","5","2022-12","0.727131438721137","A","A"
"6","6","2022-12","0.624533929903057","A","C"
"6","7","2022-12","0.824973053643976","A","B"
"6","9","2022-12","1.59394897653946","A","B"
"7","Total","2022-12","2.8197582891327","A","A"
"7","21","2022-12","2.8197582891327","A","A"
"Total","Total","2022-11","1.9865532918637","A","A"
"1","Total","2022-11","3.1015535193868","A","A"
"1","22","2022-11","3.13002496487052","A","A"
"1","23","2022-11","2.12057999931978","A","A"
"1","25","2022-11","3.75177407909167","A","A"
"2","Total","2022-11","1.82082899660742","A","A"
"2","2","2022-11","1.47397455067089","A","A"
"2","10","2022-11","2.05056325598297","A","A"
"2","11","2022-11","1.89348316118831","A","A"
"2","24","2022-11","2.74774115873212","A","A"
"2","26","2022-11","3.5070306038048","A","B"
"3","Total","2022-11","2.18975536975684","A","A"
"3","12","2022-11","2.88602431586868","A","A"
"3","13","2022-11","1.71862400743484","A","A"
"3","19","2022-11","2.1861069444151","A","A"
"4","Total","2022-11","1.59936020962162","A","A"
"4","1","2022-11","1.59936020962162","A","A"
"5","Total","2022-11","1.55318804079495","A","A"
"5","8","2022-11","1.28398446424492","A","B"
"5","14","2022-11","2.40575168218269","A","B"
"5","15","2022-11","1.18223273095761","A","B"
"5","16","2022-11","0.357266336291345","A","C"
"5","17","2022-11","1.51951208062658","A","A"
"5","18","2022-11","1.16449950704094","A","A"
"5","20","2022-11","1.82244207237699","A","A"
"6","Total","2022-11","1.08749175642998","A","A"
"6","3","2022-11","1.18138684542724","A","A"
"6","4","2022-11","0.719871562483816","A","C"
"6","5","2022-11","0.734902309058615","A","A"
"6","6","2022-11","0.596569724086503","A","C"
"6","7","2022-11","0.750352375424923","A","B"
"6","9","2022-11","1.59964673874336","A","B"
"7","Total","2022-11","2.7507326406549","A","A"
"7","21","2022-11","2.7507326406549","A","A"
"Total","Total","2022-10","1.949770504555","A","A"
"1","Total","2022-10","3.07281555713488","A","A"
"1","22","2022-10","3.12036737472898","A","A"
"1","23","2022-10","1.9737662543789","A","A"
"1","25","2022-10","3.77515966711825","A","A"
"2","Total","2022-10","1.78467857908996","A","A"
"2","2","2022-10","1.44003258428773","A","A"
"2","10","2022-10","2.00614880571274","A","A"
"2","11","2022-10","1.87531541230697","A","A"
"2","24","2022-10","2.71285992371136","A","A"
"2","26","2022-10","3.39950372208437","A","B"
"3","Total","2022-10","2.18831768385607","A","A"
"3","12","2022-10","2.81771018969546","A","A"
"3","13","2022-10","1.72545750249423","A","A"
"3","19","2022-10","2.19931126275537","A","A"
"4","Total","2022-10","1.59855005537983","A","A"
"4","1","2022-10","1.59855005537983","A","A"
"5","Total","2022-10","1.49926439418497","A","A"
"5","8","2022-10","1.23372172721042","A","B"
"5","14","2022-10","2.4403170799152","A","B"
"5","15","2022-10","1.19574396216855","A","B"
"5","16","2022-10","0.33421689524029","A","C"
"5","17","2022-10","1.49459612683304","A","A"
"5","18","2022-10","1.01382145581041","A","A"
"5","20","2022-10","1.74368653996355","A","A"
"6","Total","2022-10","1.04836227742361","A","A"
"6","3","2022-10","1.15004570582858","A","A"
"6","4","2022-10","0.647366513025014","A","C"
"6","5","2022-10","0.711589698046181","A","A"
"6","6","2022-10","0.577926920208799","A","C"
"6","7","2022-10","0.671586103971478","A","B"
"6","9","2022-10","1.53127359229663","A","B"
"7","Total","2022-10","2.42013611373489","A","A"
"7","21","2022-10","2.42013611373489","A","A"
"Total","Total","2022-09","1.94737777445212","A","A"
"1","Total","2022-09","3.02547542844605","A","A"
"1","22","2022-09","3.10056931493884","A","A"
"1","23","2022-09","1.82128402507737","A","A"
"1","25","2022-09","3.75661247661441","A","A"
"2","Total","2022-09","1.81050030588815","A","A"
"2","2","2022-09","1.43038592015778","A","A"
"2","10","2022-09","2.0932472731258","A","A"
"2","11","2022-09","1.93654745483296","A","A"
"2","24","2022-09","2.77249558358557","A","A"
"2","26","2022-09","3.45188861317894","A","B"
"3","Total","2022-09","2.25317329226876","A","A"
"3","12","2022-09","2.81374995049701","A","A"
"3","13","2022-09","1.73844114310705","A","A"
"3","19","2022-09","2.30256903217628","A","A"
"4","Total","2022-09","1.60769322468008","A","A"
